Title,Director,MetaScore,Duration (minutes),IMDb Rating,Certificates,Star Cast,Genre,Year
Glass,M. Night Shyamalan,43.0,129.0,6.6,PG-13,M. Night Shyamalan,Drama,2019
Lisa Frankenstein,Zelda Williams,47.0,101.0,6.1,PG-13,Kathryn NewtonLiza SoberanoJenna Davis,Comedy,2024
It,Andy Muschietti,69.0,135.0,7.3,R,Chase PalmerCary Joji FukunagaGary Dauberman,Fantasy,2017
Smile,Parker Finn,68.0,115.0,6.5,R,Sosie BaconJessie T. UsherKyle Gallner,Horror,2022
The Dead Don't Die,Jim Jarmusch,53.0,104.0,5.5,R,Bill MurrayAdam DriverTilda Swinton,Comedy,2019
Nosferatu,Robert Eggers,66.9,116.3,7.1,R,Aaron Taylor-JohnsonBill SkarsgårdNicholas Hoult,Fantasy,2024
A Serbian Film,Srdjan Spasojevic,66.9,104.0,5.0,NC-17,Srdjan 'Zika' TodorovicSergej TrifunovicJelena Gavrilovic,Horror,2010
Mandy,Panos Cosmatos,83.0,121.0,6.5,Not Rated,Panos CosmatosAaron Stewart-AhnCasper Kelly,Action,2018
The Crow,Alex Proyas,71.0,102.0,7.5,R,Brandon LeeMichael WincottRochelle Davis,Action,1994
The Prodigy,Nicholas McCarthy,45.0,92.0,5.9,R,Taylor SchillingJackson Robert ScottPeter Mooney,Fantasy,2019
Split,M. Night Shyamalan,63.0,117.0,7.3,PG-13,James McAvoyAnya Taylor-JoyHaley Lu Richardson,Horror,2016
The Menu,Mark Mylod,71.0,107.0,7.2,R,Ralph FiennesAnya Taylor-JoyNicholas Hoult,Comedy,2022
Nope,Jordan Peele,77.0,130.0,6.8,R,Daniel KaluuyaKeke PalmerBrandon Perea,Horror,2022
Five Nights at Freddy's,Emma Tammi,33.0,109.0,5.5,PG-13,Scott CawthonSeth CuddebackEmma Tammi,Horror,2023
Alien,Ridley Scott,89.0,117.0,8.5,R,Dan O'BannonRonald Shusett,Horror,1979
A Quiet Place,John Krasinski,82.0,90.0,7.5,PG-13,Bryan WoodsScott BeckJohn Krasinski,Drama,2018
The First Omen,Arkasha Stevenson,65.0,119.0,6.7,R,Tim SmithArkasha StevensonKeith Thomas,Horror,2024
Midsommar,Ari Aster,72.0,148.0,7.1,R,Florence PughJack ReynorVilhelm Blomgren,Drama,2019
The Killing of a Sacred Deer,Yorgos Lanthimos,73.0,121.0,7.0,R,Barry G. BernsonHerb CaillouetBill Camp,Drama,2017
Talk to Me,Danny Philippou,76.0,95.0,7.1,R,Ari McCarthyHamish PhillipsKit Erhart-Bruce,Horror,2022
Hereditary,Ari Aster,87.0,127.0,7.3,R,Toni ColletteMilly ShapiroGabriel Byrne,Drama,2018
Dream Scenario,Kristoffer Borgli,74.0,102.0,6.9,R,Lily BirdNicolas CageJulianne Nicholson,Comedy,2023
MaXXXine,Ti West,66.9,103.0,7.1,R,Ti West,Crime,2024
Exhuma,Jang Jae-hyun,66.9,116.3,7.0,R,Jang Jae-hyun,Horror,2024
Shaitaan,Vikas Bahl,66.9,132.0,6.7,Not Rated,Aamil Keeyan KhanKrishnadev Yagnik,Drama,2024
28 Days Later,Danny Boyle,73.0,113.0,7.5,R,Cillian MurphyNaomie HarrisChristopher Eccleston,Drama,2002
Alien: Romulus,Fede Alvarez,66.9,116.3,7.1,R,Fede AlvarezRodo SayaguesDan O'Bannon,Horror,2024
Arcadian,Benjamin Brewer,60.0,92.0,5.5,R,Nicolas CageJaeden MartellMaxwell Jenkins,Action,2024
A Quiet Place: Day One,Michael Sarnoski,66.9,116.3,7.1,R,Michael SarnoskiJohn KrasinskiBryan Woods,Drama,2024
Barbarian,Zach Cregger,78.0,102.0,7.0,R,Georgina CampbellBill SkarsgårdJustin Long,Horror,2022
The Coffee Table,Caye Casas,72.0,91.0,6.8,16+,David ParejaEstefanía de los SantosJosep Maria Riera,Comedy,2022
Immaculate,Michael Mohan,57.0,89.0,5.8,R,Sydney SweeneyÁlvaro MorteSimona Tabasco,Horror,2024
Pearl,Ti West,76.0,103.0,7.0,R,Ti WestMia Goth,Drama,2022
The Crow,Rupert Sanders,66.9,116.3,7.1,R,Bill SkarsgårdFKA twigsDanny Huston,Action,2024
The Invitation,Jessica M. Thompson,45.0,105.0,5.3,PG-13,Nathalie EmmanuelThomas DohertySean Pertwee,Horror,2022
The Watchers,Ishana Shyamalan,66.9,102.0,7.1,PG-13,Dakota FanningGeorgina CampbellOlwen Fouéré,Fantasy,2024
In a Violent Nature,Chris Nash,65.0,116.3,5.7,R,Chris Nash,Drama,2024
The Strangers,Bryan Bertino,47.0,86.0,6.1,R,Scott SpeedmanLiv TylerGemma Ward,Horror,2008
Tarot,Spenser Cohen,36.0,92.0,4.9,PG-13,Harriet SlaterAdain BradleyJacob Batalon,Horror,2024
X,Ti West,80.0,105.0,6.5,R,Mia GothJenna OrtegaBrittany Snow,Horror,2022
Sting,Kiah Roache-Turner,57.0,92.0,5.7,R,Jermaine FowlerRyan CorrAlyla Browne,Horror,2024
Godzilla Minus One,Takashi Yamazaki,81.0,124.0,7.9,PG-13,Ryunosuke KamikiMinami HamabeSakura Andô,Action,2023
I Saw the TV Glow,Jane Schoenbrun,84.0,100.0,6.9,PG-13,Justice SmithBrigette Lundy-PaineIan Foreman,Drama,2024
Late Night with the Devil,Cameron Cairnes,72.0,93.0,7.1,R,David DastmalchianLaura GordonIan Bliss,Horror,2023
